Testing smithy.
RANDOM TESTS.
----- ASSERT TRUE FAILED on Iteration 33 at line 158: Value LHS: -9, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 34 at line 116: Value LHS: 247, Value RHS: 248 
----- ASSERT TRUE FAILED on Iteration 34 at line 158: Value LHS: 14, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 35 at line 116: Value LHS: 169, Value RHS: 170 
----- ASSERT TRUE FAILED on Iteration 35 at line 158: Value LHS: 6, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 36 at line 116: Value LHS: 401, Value RHS: 402 
----- ASSERT TRUE FAILED on Iteration 36 at line 158: Value LHS: -5, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 37 at line 116: Value LHS: 350, Value RHS: 351 
----- ASSERT TRUE FAILED on Iteration 37 at line 158: Value LHS: -11, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 38 at line 116: Value LHS: 400, Value RHS: 401 
----- ASSERT TRUE FAILED on Iteration 38 at line 158: Value LHS: 24, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 39 at line 116: Value LHS: 458, Value RHS: 459 
----- ASSERT TRUE FAILED on Iteration 39 at line 158: Value LHS: 16, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 40 at line 116: Value LHS: 61, Value RHS: 62 
----- ASSERT TRUE FAILED on Iteration 40 at line 158: Value LHS: -4, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 41 at line 116: Value LHS: 347, Value RHS: 348 
----- ASSERT TRUE FAILED on Iteration 41 at line 158: Value LHS: 4, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 42 at line 116: Value LHS: 86, Value RHS: 87 
----- ASSERT TRUE FAILED on Iteration 42 at line 158: Value LHS: 1, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 43 at line 116: Value LHS: 296, Value RHS: 297 
----- ASSERT TRUE FAILED on Iteration 43 at line 158: Value LHS: 6, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 44 at line 116: Value LHS: 146, Value RHS: 147 
----- ASSERT TRUE FAILED on Iteration 44 at line 158: Value LHS: 15, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 45 at line 116: Value LHS: 411, Value RHS: 412 
----- ASSERT TRUE FAILED on Iteration 45 at line 158: Value LHS: 1, Value RHS: 0 
----- ASSERT TRUE FAILED on Iteration 46 at line 116: Value LHS: 490, Value RHS: 491 
----- ASSERT TRUE FAILED on Iteration 46 at line 158: Value LHS: -24, Value RHS: 0 
